variant,evidence_file,baseline,unquantized,scope,transform,bits,permutation,module_count,parameter_count,weight_relative_mse_parameter_weighted,calibration_output_relative_mse_parameter_weighted,metadata_bits,adjacent_abs_cosine_before_mean,adjacent_abs_cosine_after_mean,input_adjacent_abs_cosine_before_mean,input_adjacent_abs_cosine_after_mean,output_adjacent_abs_cosine_before_mean,output_adjacent_abs_cosine_after_mean,perplexity,fp16_baseline_perplexity_same_protocol,perplexity_delta_vs_fp16,eval_input_tokens,eval_token_offset,eval_sequence_length,eval_seconds,input_tokens_per_second,calibration_tokens,calibration_samples_per_module,model,num_attention_heads,num_key_value_heads,uses_gqa,fake_quantization_only,packed_integer_kernel
q_proj_input_dct_q3_offset16384,runs\segment_replicates\q_proj_input_dct_q3_offset16384.json,False,False,q_proj_input,dct,3,none,32,536870912,0.07456417964231374,0.01763192494456866,0.0,,,,,,,5.504902201971192,5.470874374365049,0.03402782760614276,8192,16384,2048,1.2395815750351176,6608.681643051946,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_dct_q3_offset8192,runs\segment_replicates\q_proj_input_dct_q3_offset8192.json,False,False,q_proj_input,dct,3,none,32,536870912,0.07456417964231374,0.01763192494456866,0.0,,,,,,,4.099834624430649,4.07688878500778,0.022945839422868985,8192,8192,2048,1.2066616859519854,6788.978298865097,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_hadamard_q3_offset16384,runs\segment_replicates\q_proj_input_hadamard_q3_offset16384.json,False,False,q_proj_input,hadamard,3,none,32,536870912,0.07448182909931539,0.01762959252535143,0.0,,,,,,,5.496366117562049,5.470874374365049,0.02549174319699965,8192,16384,2048,1.6620027979370207,4928.992905528445,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_hadamard_q3_offset8192,runs\segment_replicates\q_proj_input_hadamard_q3_offset8192.json,False,False,q_proj_input,hadamard,3,none,32,536870912,0.07448182909931539,0.01762959252535143,0.0,,,,,,,4.095324707547887,4.07688878500778,0.01843592254010673,8192,8192,2048,1.4310658279573545,5724.404733842977,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_identity_q3_offset16384,runs\segment_replicates\q_proj_input_identity_q3_offset16384.json,False,False,q_proj_input,identity,3,none,32,536870912,0.08310633011871371,0.018540004873103838,0.0,,,,,,,5.5220056044833505,5.470874374365049,0.05113123011830112,8192,16384,2048,1.5752572879428044,5200.420314003614,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_identity_q3_offset8192,runs\segment_replicates\q_proj_input_identity_q3_offset8192.json,False,False,q_proj_input,identity,3,none,32,536870912,0.08310633011871371,0.018540004873103838,0.0,,,,,,,4.128450322602497,4.07688878500778,0.05156153759471671,8192,8192,2048,1.5758815839653835,5198.360132736946,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_rdft_q3_offset16384,runs\segment_replicates\q_proj_input_rdft_q3_offset16384.json,False,False,q_proj_input,rdft,3,none,32,536870912,0.0745737740277129,0.017629312358656106,0.0,,,,,,,5.506959392317933,5.470874374365049,0.03608501795288355,8192,16384,2048,1.6242396549787372,5043.590688658098,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_rdft_q3_offset8192,runs\segment_replicates\q_proj_input_rdft_q3_offset8192.json,False,False,q_proj_input,rdft,3,none,32,536870912,0.0745737740277129,0.017629312358656106,0.0,,,,,,,4.120664729717993,4.07688878500778,0.04377594471021329,8192,8192,2048,1.3920831830473617,5884.705813389091,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_spectral_dct_q3_offset16384,runs\segment_replicates\q_proj_input_spectral_dct_q3_offset16384.json,False,False,q_proj_input,dct,3,spectral,32,536870912,0.07454741818343821,0.01760068913700699,733349.6034136291,0.029470043431501836,0.03209758491721004,,,,,5.511218644275881,5.470874374365049,0.04034426991083162,8192,16384,2048,1.4464373170631006,5663.570694258177,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_spectral_dct_q3_offset8192,runs\segment_replicates\q_proj_input_spectral_dct_q3_offset8192.json,False,False,q_proj_input,dct,3,spectral,32,536870912,0.07454741818343821,0.01760068913700699,733349.6034136291,0.029470043431501836,0.03209758491721004,,,,,4.11622218554098,4.07688878500778,0.03933340053320045,8192,8192,2048,1.2318963379366323,6649.910181339778,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
